label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
amber,0,0,1280,0,0,3840,10240,4352,2048,5632,5888,4352,2560,768,1792,0,0
amber,1,0,1536,0,0,3840,10240,4352,2048,5632,5888,4352,2560,1024,1792,0,0
amber,2,0,1536,0,0,3840,9984,4608,2048,5632,5888,4352,2304,1024,2048,0,0
amber,3,0,1792,0,0,3840,10240,4608,2048,5632,5888,4864,2560,1024,2048,0,0
amber,4,0,1536,0,0,3840,9984,4352,2048,5632,5888,4608,2560,1024,2048,0,0
amber,5,0,1536,0,0,4096,9984,4352,2048,5888,6144,4352,2304,768,1792,0,0
amber,6,0,1536,0,0,4096,9984,4096,2048,5888,5888,4096,2304,1024,1792,0,0
amber,7,0,1536,0,0,3840,9984,4096,2048,5632,5888,4352,2048,768,1792,0,0
amber,8,0,1536,0,0,4096,9984,4096,2048,5888,5632,4608,2560,1024,1536,0,0
amber,9,0,768,0,0,4096,8192,3328,0,5376,5632,5120,2816,768,2048,0,0
amber,10,0,1792,0,0,4608,8960,4352,1024,6144,6400,4352,3328,2560,1280,0,0
amber,11,0,1536,0,0,3328,10240,4096,2816,6400,5632,3584,2048,768,2560,2304,0
amber,12,0,1792,0,0,3840,10240,4864,4864,3584,4096,1536,1792,2048,4608,5888,0
amber,13,0,3584,0,0,3840,13312,7680,6656,1536,3072,1536,0,512,3072,11264,0
amber,14,256,3584,0,0,2816,13312,8448,11776,1280,3328,2048,0,0,2304,15360,0
amber,15,0,3584,0,0,3328,15616,8960,13568,768,2048,1280,0,0,1792,18688,0
amber,16,0,4864,0,0,3072,17408,10240,12800,512,1280,256,0,1792,1792,23040,0
amber,17,256,4864,0,0,4096,16128,9984,10240,0,768,0,0,2816,4352,26624,0
amber,18,256,6400,0,0,5376,18432,15360,9472,0,1792,0,0,4096,9728,29440,0
amber,19,512,7936,768,0,6912,28416,17664,7424,0,1792,0,0,6912,18432,29696,0
amber,20,256,11264,1280,0,14592,35072,19712,6400,0,768,0,0,8192,24064,30464,0
amber,21,512,13312,2304,0,23552,42752,22784,4608,0,0,0,0,9472,27904,27648,0
amber,22,0,16384,2816,256,36096,56576,30464,9984,0,0,0,0,14336,31744,30720,0
amber,23,256,17664,512,5376,25344,56832,36608,15104,0,0,0,0,16128,35840,28928,0
amber,24,0,19200,768,2816,23040,52224,27392,9984,0,0,0,0,10240,29440,23808,0
amber,25,0,10240,1024,0,18176,39168,14592,4352,0,0,0,0,10240,16128,16896,0
amber,26,0,8960,256,0,11008,30464,7680,1792,0,0,0,0,7680,9472,10496,0
amber,27,0,7424,0,0,6912,26368,8192,2048,0,0,0,0,5376,4864,3072,0
amber,28,0,6656,0,0,4864,17664,8448,2304,0,0,0,0,4608,3072,5120,0
amber,29,0,5632,0,0,3840,15104,6400,3328,512,0,0,0,3584,5632,6656,0
amber,30,0,5376,0,0,3328,17920,7424,3840,768,1536,256,0,4096,7936,6656,0
amber,31,0,4608,0,0,3584,16384,10240,3584,768,1536,768,0,2816,6144,3584,0
amber,32,0,4608,0,0,3840,15872,7424,3584,1536,2816,1024,256,1792,3328,0,0
amber,33,0,3328,0,0,4096,13824,5632,3840,2304,3072,3072,1536,768,2304,0,0
amber,34,0,2304,0,0,3840,14592,3840,4096,3328,3584,2048,1792,0,768,0,0
amber,35,0,1280,0,0,3840,13568,3840,4352,3328,4096,4864,1536,0,512,0,0
amber,36,0,1792,0,0,3840,10240,1536,3072,4096,3840,3072,1792,0,768,0,0
amber,37,0,2048,0,0,3840,9984,1024,768,4352,3584,2560,2304,256,0,0,0
amber,38,0,2304,0,0,3584,5120,512,1280,4352,4608,2048,1024,1024,0,0,0
amber,39,0,2304,0,0,3584,7168,256,768,4352,3072,2304,1280,0,768,0,0
amber,40,0,1280,0,0,3328,6912,512,768,4864,3328,3072,768,0,0,0,0
amber,41,0,1536,0,0,3840,8960,0,1024,5888,3840,3584,1280,768,1536,0,0
amber,42,0,1536,0,0,4352,9216,0,1024,6912,4608,2816,1024,768,768,0,0
amber,43,0,2048,0,0,4096,10496,256,768,5888,4096,2816,1280,1024,512,0,0
amber,44,0,768,0,0,3584,11008,512,1024,6400,5120,3328,1792,768,0,0,0
amber,45,0,512,0,0,3584,11264,1280,768,7680,4096,3072,768,768,256,0,0
amber,46,0,512,0,0,3840,11008,1536,768,6400,5632,3840,1280,1024,256,0,0
amber,47,0,768,0,0,3584,11520,1280,1024,6400,4608,4096,1024,768,256,0,0
amber,48,0,512,0,0,4096,11776,1280,1280,6912,5888,4352,1024,1024,256,0,0
amber,49,0,1536,0,0,4096,11520,1280,1280,6656,6656,4608,1280,1280,768,0,0
