label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
amber,0,0,1792,0,0,4352,10752,4352,2560,5632,7424,3840,1792,1536,1792,0,0
amber,1,0,1792,0,0,4352,11008,4352,2560,5888,7424,3840,2048,1536,1536,0,0
amber,2,0,2048,0,0,4352,11264,4352,2560,5632,7168,3840,1792,1536,1536,0,0
amber,3,0,2304,0,0,4352,11264,4352,2816,5632,7424,3840,1792,1536,1280,0,0
amber,4,0,2304,0,0,4096,11520,4352,2816,5376,7424,3840,2304,1536,1280,0,0
amber,5,0,2304,0,0,4352,11264,4608,2560,5376,7424,3840,1792,1536,1280,0,0
amber,6,0,2304,0,0,4352,11520,4608,2560,5632,7168,3840,1792,1536,1280,0,0
amber,7,0,2304,256,0,4352,11520,4608,2560,5888,7424,4096,1792,1280,1024,0,0
amber,8,0,2048,256,0,4352,11776,4352,2816,6144,7424,3840,1792,1536,1024,0,0
amber,9,0,1792,0,0,4352,11776,4608,2560,5888,7680,4096,2048,1280,1280,0,0
amber,10,0,2048,0,0,4352,11776,4352,2560,5376,7680,4096,2048,1280,1280,0,0
amber,11,0,1792,0,0,4352,11776,4352,2560,5120,7168,4096,2048,1024,1536,0,0
amber,12,0,1792,256,0,4608,11520,4352,2560,5120,6912,4096,1792,1024,1792,0,0
amber,13,0,1792,256,0,4608,11264,4352,2560,5376,6912,4096,1792,1024,1792,0,0
amber,14,0,1792,256,0,4352,11520,4352,2816,5376,6912,3840,2048,1024,1792,0,0
amber,15,0,1792,256,0,4352,11008,4352,2816,5888,6912,3840,2048,768,1792,0,0
amber,16,0,2048,0,0,4096,10496,4096,2816,5888,6912,4096,2048,768,1792,0,0
amber,17,0,1792,0,0,4352,10240,4096,2816,6144,6912,4352,1792,768,1792,0,0
amber,18,0,1792,0,0,4096,10240,4096,2816,6144,7168,4352,2048,768,2048,0,0
amber,19,0,1792,256,0,4096,10496,4096,2816,5888,6912,4096,2048,768,2048,0,0
amber,20,0,2048,256,0,4096,10496,4096,2816,5888,7168,4096,1792,1024,2048,0,0
amber,21,0,2304,256,0,4352,10496,4096,2816,6144,7168,4096,1792,768,2048,0,0
amber,22,0,2560,256,0,4352,10240,4096,2816,6144,7168,4096,2304,768,2048,0,0
amber,23,0,2304,256,0,4352,10496,4096,2816,6144,7168,4352,2560,1024,2048,0,0
amber,24,0,2304,0,0,4096,10496,4096,2816,6144,7168,4096,2560,1024,2048,0,0
amber,25,0,2304,0,0,4352,10496,4096,2816,4864,7168,4352,1792,1024,2048,0,0
amber,26,0,2048,0,0,7168,11008,4608,2560,6144,6656,4096,2048,512,512,0,0
amber,27,0,1024,0,0,6144,11008,5376,2560,4352,5120,4352,1792,768,1536,0,0
amber,28,0,1792,0,0,6656,11520,6144,3584,4352,4864,2560,0,3584,2304,2816,0
amber,29,768,3072,0,0,7168,13312,8192,4864,2048,3072,1024,0,5376,6912,4608,0
amber,30,768,4608,1536,0,5376,12800,11520,7680,1280,2048,1280,0,7680,9472,5632,0
amber,31,768,5888,768,0,6144,13056,12032,10752,768,1024,0,0,13312,15616,12288,0
amber,32,768,6912,1792,0,7424,14336,14080,8960,256,768,0,0,18944,20992,21760,0
amber,33,256,8704,2048,2048,5888,19712,14848,7424,0,256,0,0,22784,29184,28928,0
amber,34,256,8192,2048,3072,7680,20992,13824,4352,0,0,0,0,27904,38912,35328,0
amber,35,0,9728,1536,1792,12544,29440,17152,5632,0,0,0,0,30720,52224,43264,0
amber,36,0,12032,2304,768,24064,36352,18944,2816,0,0,0,0,32512,56320,43264,0
amber,37,0,12800,3072,1280,35840,45568,18432,1536,0,0,0,0,32256,59392,43520,0
amber,38,0,15104,2560,1280,42240,47872,21248,2304,0,0,0,0,34048,60672,43520,0
amber,39,0,16128,768,1792,50176,53760,23808,2560,0,0,0,0,33536,60672,45824,0
amber,40,0,16128,0,7424,37632,54784,24320,4096,0,0,0,0,34304,59648,37888,0
amber,41,0,16128,0,2304,31488,50688,15360,2304,0,0,0,0,29440,48896,33280,0
amber,42,0,15104,1024,0,25344,41216,8448,512,0,0,0,0,22272,38912,26368,0
amber,43,0,12288,768,0,20736,33536,8960,0,0,0,0,0,16640,22784,14848,0
amber,44,0,9472,0,0,9472,26368,8192,0,0,0,0,0,13824,12544,7936,0
amber,45,0,7936,0,0,5888,19968,7424,768,0,0,0,0,12544,12032,7424,0
amber,46,0,6144,0,0,6400,18176,7168,1024,0,0,0,0,14336,9472,6144,0
amber,47,0,6144,0,0,4352,17408,5888,1536,0,0,0,0,7936,5376,3584,0
amber,48,0,5888,0,0,4096,15104,6144,2816,0,1024,512,0,7680,6144,2560,0
amber,49,0,5376,0,0,4608,16384,5632,2816,512,1280,512,0,5376,5888,1792,0
