label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
amber,0,0,2048,512,0,4352,9984,3328,1792,6656,7424,4352,1792,768,2304,0,0
amber,1,0,2304,512,0,4352,9728,3584,1792,7168,7424,4352,1792,512,2304,0,0
amber,2,0,2048,768,0,4096,9728,3328,2048,7168,7168,4352,1536,1024,2304,0,0
amber,3,0,2048,512,0,3840,9728,3328,1792,7168,7424,4352,1792,768,2304,0,0
amber,4,0,2048,768,0,3328,9728,3328,1792,7168,7424,4864,2304,768,2048,0,0
amber,5,0,1792,768,0,3584,9728,3584,1792,7424,7424,4608,2304,768,2304,0,0
amber,6,0,1792,768,0,3584,9472,3584,1792,7424,7424,4608,2560,768,2048,0,0
amber,7,0,2048,768,0,3584,9472,3584,1792,7168,7168,4608,2048,1024,2304,0,0
amber,8,0,2048,512,0,4096,9472,3840,1536,7680,7424,4608,2560,1024,2048,0,0
amber,9,0,2304,512,0,3840,9472,3840,1792,7680,7168,4352,2048,1024,2048,0,0
amber,10,0,2560,768,0,3840,9472,3584,1536,7680,7168,4608,1792,1280,2304,0,0
amber,11,0,2560,512,0,3584,9472,3840,1536,7424,7168,4608,1536,1024,2048,0,0
amber,12,0,2816,256,0,3840,9472,3840,1792,7424,7168,4608,1792,1024,2048,0,0
amber,13,0,2816,512,0,3840,9472,3840,1792,7424,7424,4864,1536,1280,2304,0,0
amber,14,0,2560,256,0,3840,9216,3840,1792,7424,7168,4608,1792,1280,2048,0,0
amber,15,0,2816,256,0,3584,9216,3840,1536,7424,7168,4864,1536,1280,2304,0,0
amber,16,0,1280,0,0,3584,7424,3584,1536,4608,5120,4864,1792,1280,2304,0,0
amber,17,0,1024,0,0,3328,8448,2816,1792,4608,5376,4352,1792,1024,2048,0,0
amber,18,0,512,768,0,4608,9728,3584,1792,6144,5888,4352,1536,1280,2304,0,0
amber,19,0,1280,256,0,4096,8960,2816,0,5888,6912,4608,3328,1024,2048,0,0
amber,20,0,1024,0,0,5120,9472,3328,256,5632,6656,3840,2560,512,1280,0,0
amber,21,0,1536,0,0,4608,11008,2816,1536,4864,5632,4352,3328,1536,1792,256,0
amber,22,0,5632,0,0,5376,11520,4608,2048,2816,2048,1536,1280,2048,3328,1536,0
amber,23,0,5888,0,0,4096,15360,5376,4864,256,1792,0,0,4608,7424,4608,0
amber,24,0,6144,0,0,4352,17152,10240,5376,0,1024,0,0,9216,9216,5376,0
amber,25,0,6400,0,0,5376,19968,12800,7168,0,256,0,0,16384,13568,14336,0
amber,26,0,6656,0,0,7168,24064,13056,10496,0,0,0,0,23552,24576,21248,0
amber,27,1024,12544,512,0,8960,30208,16384,9728,0,0,0,0,25856,39424,26880,0
amber,28,512,11776,2304,0,12032,38400,19968,10240,0,0,0,0,29952,49152,30208,0
amber,29,256,18176,1024,0,27392,44800,27648,10496,0,0,0,0,31744,58880,33536,0
amber,30,0,19200,2560,0,41984,50432,28928,9216,0,0,0,0,38656,63232,38144,0
amber,31,256,24832,1024,6144,37376,59648,39424,19456,0,0,0,0,40448,10753,40960,0
amber,32,0,24064,0,12288,25600,60160,36864,20736,0,0,0,0,37376,10497,33024,0
amber,33,0,21504,0,8704,22016,56576,30720,19712,0,0,0,0,27392,1793,31744,0
amber,34,0,14592,0,0,16896,45312,17152,12288,0,0,0,0,21248,50944,26624,0
amber,35,0,12032,0,0,12544,32256,13824,9216,0,0,0,0,17664,38400,19968,0
amber,36,0,8960,0,0,7680,25600,9984,7936,0,0,0,0,14336,27904,13824,0
amber,37,0,8448,0,0,4352,23040,11520,6144,0,0,0,0,11520,22272,11264,0
amber,38,0,6656,0,0,4352,17664,7936,4096,0,256,0,0,8704,17920,8192,0
amber,39,0,5632,0,0,4352,18176,7168,5376,0,0,0,0,5888,13824,6144,0
amber,40,0,6144,0,0,3328,15104,5632,5120,0,256,256,0,6144,13568,4352,0
amber,41,0,4864,0,0,3584,14592,4096,4608,0,1280,1280,0,4608,6144,1536,0
amber,42,0,5120,0,0,4096,12544,2560,4608,512,1536,2560,1280,1024,4352,0,0
amber,43,0,5120,0,0,4352,12288,1280,5632,1024,3328,2816,1792,512,512,0,0
amber,44,0,3072,0,0,6144,9216,0,3840,2560,4096,3328,1792,0,256,0,0
amber,45,0,2048,0,0,6912,10240,256,1280,3840,4352,6656,2048,0,512,0,0
amber,46,0,1280,0,0,5376,10240,0,1536,5120,4608,2048,768,0,0,0,0
amber,47,0,1536,0,0,3840,10752,0,768,6144,3584,3072,512,0,0,0,0
amber,48,0,2048,0,0,4864,9728,0,256,4864,5376,3840,768,512,0,0,0
amber,49,0,1536,0,0,3840,10240,256,256,6144,6144,3584,768,768,768,0,0
