label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
amber,0,0,2048,0,0,3840,10752,3328,1280,6400,6144,4096,1536,1792,2048,0,0
amber,1,0,2048,0,0,3840,11008,3328,1280,6400,6400,4096,1536,1280,2048,0,0
amber,2,0,2048,0,0,3584,11520,3328,1536,6400,6400,4608,1536,1536,2048,0,0
amber,3,0,1792,0,0,3840,11520,3328,1536,6400,6656,4352,1536,1536,1792,0,0
amber,4,0,2048,0,0,4352,11264,3328,1280,6656,6400,4096,1536,1280,2048,0,0
amber,5,0,2048,0,0,4352,11264,3328,1536,6912,6656,4608,1536,1280,2048,0,0
amber,6,0,2048,0,0,4352,10752,3072,1536,6400,6912,4608,1792,1280,2048,0,0
amber,7,0,2304,0,0,4608,10496,3328,1536,6656,6656,4608,1792,1280,2048,0,0
amber,8,0,2048,0,0,4608,10496,3328,1536,6656,6912,4352,2048,1280,2048,0,0
amber,9,0,1792,0,0,4608,10496,3328,1792,6400,6656,4352,2048,1280,2048,0,0
amber,10,0,1792,0,0,4608,10752,3328,1536,6144,6656,4608,2304,1280,2048,0,0
amber,11,0,1792,0,0,4608,11008,3328,1536,6400,6656,4608,2304,1280,2048,0,0
amber,12,0,1792,0,0,4864,10752,3328,1536,5888,6912,4608,2048,1280,2048,0,0
amber,13,0,1536,0,0,4864,10752,3328,1792,5888,6656,4352,2304,1024,1792,0,0
amber,14,0,1536,0,0,4864,10496,3328,1792,5888,6656,4608,2560,1024,2048,0,0
amber,15,0,1536,0,0,4864,10752,3328,1792,5632,6656,4352,2560,1280,1792,0,0
amber,16,0,1536,0,0,5120,10240,3328,1792,5632,6656,4864,2560,1280,2048,0,0
amber,17,0,1536,0,0,5120,10240,3328,1536,5888,6912,4864,2304,1536,2048,0,0
amber,18,0,1536,0,0,5120,9984,3328,1536,5632,6656,4864,2304,1280,2048,0,0
amber,19,0,1536,0,0,4864,10240,3072,1536,5632,6656,4864,2048,1280,2304,0,0
amber,20,0,1536,0,0,4608,9984,3072,1536,5632,6656,4864,2048,1280,2560,0,0
amber,21,0,1792,0,0,4864,9472,3072,1536,5888,6912,5120,1792,1280,2304,0,0
amber,22,0,1792,0,0,4864,9984,3072,1536,5888,6656,4864,2304,1280,2048,0,0
amber,23,0,1792,0,0,5120,10496,3072,1536,5888,6656,4864,1792,1280,2048,0,0
amber,24,0,1792,0,0,5120,10496,3072,1536,5888,6912,5120,1792,1536,1792,0,0
amber,25,0,2048,0,0,5120,9472,2816,512,5888,6912,4352,2048,1792,2304,0,0
amber,26,0,2560,0,0,4352,12032,2816,0,5632,6144,4352,3072,768,1536,0,0
amber,27,0,2560,0,0,5120,13056,2560,256,6144,5888,5376,3584,768,1024,0,0
amber,28,0,2560,0,0,4096,10752,4352,1024,5888,5376,5632,3328,512,1024,0,0
amber,29,0,2304,0,0,3840,11520,5120,1792,5376,6400,2816,2816,0,768,0,0
amber,30,0,3072,0,0,3328,14080,6400,4608,5120,5120,3840,3072,1536,4352,512,0
amber,31,512,4608,0,0,3584,14848,6656,7936,2816,2304,1280,512,1280,9216,2304,0
amber,32,0,4352,0,0,3072,18688,6656,7424,1024,1792,0,0,3072,17664,8704,0
amber,33,0,5376,0,0,3072,29440,8704,3072,0,256,0,0,6912,23040,12032,0
amber,34,256,7680,0,0,3072,35840,13824,6144,0,256,0,0,12032,31744,19968,0
amber,35,0,8960,512,0,3072,45056,13568,9216,0,0,0,0,21760,34560,28928,0
amber,36,256,9728,0,0,4352,57344,20224,11776,0,0,0,0,24832,39936,36096,0
amber,37,256,12032,0,0,7168,4609,27904,13312,0,0,0,0,34560,42240,35584,0
amber,38,0,11776,0,0,12288,18433,33280,13568,0,0,0,0,36352,45312,36096,0
amber,39,0,16384,0,0,18176,29953,40448,14592,0,0,0,0,39936,42496,32256,0
amber,40,0,19712,0,0,25600,34561,44800,13056,0,0,0,0,40960,43008,28928,0
amber,41,0,22272,0,0,39936,45313,49664,12032,0,0,0,0,40448,37120,28160,0
amber,42,0,23040,0,0,36608,60161,59392,13568,0,0,0,0,43264,44032,27648,0
amber,43,0,22784,0,0,28416,51201,55552,13824,0,0,0,0,39680,40704,22272,0
amber,44,0,21504,0,0,22272,32513,35328,9472,0,0,0,0,28672,30720,17664,0
amber,45,0,12288,0,0,13568,7425,20736,4096,0,0,0,0,22528,23296,12032,0
amber,46,0,14080,0,0,8960,54528,15104,2816,0,0,0,0,12544,16640,5888,0
amber,47,0,12032,0,0,5120,40448,11264,3584,0,0,0,0,9728,9472,5120,0
amber,48,0,11008,0,0,3840,34560,7936,5376,0,0,0,0,7680,7424,3584,0
amber,49,0,7936,0,0,3584,26624,6400,3072,0,256,0,0,3584,8448,3072,0
