label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
amber,0,0,2816,512,0,5888,10752,6656,2304,7168,7424,5120,2560,768,3328,0,0
amber,1,0,2816,512,0,5632,10752,6656,2304,6912,7680,5120,2816,768,3072,0,0
amber,2,0,2816,512,0,5632,10496,6656,2304,7168,7424,5120,2560,768,3328,0,0
amber,3,0,2816,512,0,5632,10752,6656,2304,7168,7424,4864,2560,768,3072,0,0
amber,4,0,2816,512,0,5632,10496,6656,2304,7168,7680,5120,2560,768,3072,0,0
amber,5,0,2816,512,0,5632,10752,6656,2304,7424,7680,5120,2816,768,3072,0,0
amber,6,0,2816,512,0,5632,10752,6656,2304,7680,7424,5120,2816,768,3584,0,0
amber,7,0,2816,512,0,5632,10752,6656,2304,7424,7680,5120,2560,768,3328,0,0
amber,8,0,2816,512,0,5632,10752,6656,2304,7424,7680,5120,2560,768,3328,0,0
amber,9,0,2816,512,0,5632,10752,6656,2304,7680,7680,5120,2816,768,3328,0,0
amber,10,0,2816,512,0,5632,10752,6656,2304,7424,7680,5120,2560,768,3328,0,0
amber,11,0,2816,512,0,5632,10752,6656,2304,7424,7424,5120,2816,768,3584,0,0
amber,12,0,2816,512,0,5888,10752,6656,2560,7680,7424,5120,2560,768,3584,0,0
amber,13,0,2816,512,0,5632,10752,6656,2560,6912,7424,5120,2560,768,3584,0,0
amber,14,0,2816,512,0,5632,10752,6656,2560,6400,7936,5120,2560,512,3072,0,0
amber,15,0,2816,512,0,5632,10752,6656,2304,6400,7424,4864,3072,3072,4096,0,0
amber,16,0,2816,512,0,5888,10496,6656,2304,7168,7424,4864,2560,3328,4608,0,0
amber,17,0,2816,512,0,6144,11008,6912,2304,6400,7424,4864,3328,2816,4352,0,0
amber,18,0,1536,256,0,6400,9472,6656,2048,6400,7168,3072,2304,1280,5888,0,0
amber,19,256,4096,0,0,4096,9216,4608,3584,4864,5888,3072,1536,1536,5120,1280,0
amber,20,1280,4608,0,0,3840,11008,6400,4864,4096,6144,2560,256,3840,6912,3584,0
amber,21,1280,3584,0,0,4608,12032,5120,8448,3840,4864,2048,512,5376,10240,3328,0
amber,22,512,4608,0,0,5120,15104,7936,12032,3840,4096,2304,256,9216,12288,7680,0
amber,23,768,4352,0,0,4608,18944,8192,12288,3584,3584,1792,0,13056,16384,13312,0
amber,24,768,6144,0,0,5376,23808,10496,12800,3072,3328,0,0,13312,24576,20224,0
amber,25,0,6912,0,0,5888,26112,10240,13056,2304,2560,0,0,15104,26112,24576,0
amber,26,0,7424,0,256,9728,32512,14080,10496,1536,2816,0,0,20224,35584,34304,0
amber,27,256,8448,1024,512,16640,36864,15872,9216,1024,2304,0,0,22016,46336,40704,0
amber,28,0,10752,2048,0,26368,40960,16640,7680,0,1792,0,0,26112,53504,43008,0
amber,29,0,11776,1536,0,36096,46080,19200,5888,256,1024,0,0,26880,50688,41472,0
amber,30,0,13312,1024,0,41216,48384,18432,6912,256,1536,0,0,28672,55040,52224,0
amber,31,0,14848,1024,0,33024,52224,20992,8192,0,2304,0,0,28928,54016,40960,0
amber,32,0,14080,1280,0,24320,51968,20992,9216,256,2816,0,0,27648,50688,43520,0
amber,33,0,13312,256,0,18176,40960,15616,5632,256,2304,0,0,21504,41728,36096,0
amber,34,0,9472,1024,0,16640,32256,11008,5632,768,1280,0,0,16640,37120,32000,0
amber,35,256,8448,512,0,11264,31488,10752,5632,512,1792,0,0,13824,21248,16384,0
amber,36,0,7680,0,0,7424,27648,10496,5376,512,1536,0,0,10240,17920,14336,0
amber,37,0,8448,0,0,6400,24832,9984,5888,768,2048,0,0,9472,16384,11776,0
amber,38,0,6912,0,0,6144,22784,7936,5376,1792,2816,0,0,8448,15872,12288,0
amber,39,0,5632,0,0,5888,18176,7168,5120,2304,3328,512,0,7168,12032,9984,0
amber,40,0,4352,0,0,5632,13824,5888,4864,2048,3584,768,0,3584,7168,3328,0
amber,41,0,5376,0,0,5632,13056,5632,4608,2560,3840,3072,0,768,3072,1280,0
amber,42,0,4352,0,0,5632,12800,5376,4352,3328,4352,3840,0,0,768,0,0
amber,43,0,3072,0,0,4352,14336,5376,2048,4608,5120,2816,256,0,768,0,0
amber,44,0,2048,0,0,3840,14336,3328,1280,5376,5376,2560,512,0,1024,0,0
amber,45,0,3328,0,0,4096,12800,3072,1280,4352,4096,3072,768,0,0,0,0
amber,46,0,2816,0,0,4608,10752,768,768,5632,4864,2048,1280,0,0,0,0
amber,47,0,2304,0,0,4608,10752,2560,1792,6144,5376,2816,1536,0,256,0,0
amber,48,0,2048,0,0,4352,11264,2560,1792,5888,5376,2816,1024,0,1536,0,0
amber,49,0,2048,0,0,3840,10752,3072,1536,6144,5120,3584,768,0,256,0,0
