label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
amber,0,0,2560,0,0,5120,7424,4608,1536,6144,7424,4608,2304,2816,1536,0,0
amber,1,0,2816,0,0,5120,7680,4608,1536,6400,7424,4608,2304,2816,1792,0,0
amber,2,0,2560,0,0,5120,7680,4352,1536,6144,7168,4608,2304,2816,1792,0,0
amber,3,0,2560,0,0,5120,7936,4352,1536,6144,7168,4352,2304,2560,1536,0,0
amber,4,0,2560,0,0,5376,7936,4608,1536,6144,7168,4352,2304,2560,1536,0,0
amber,5,0,2560,0,0,5120,8192,4352,1536,6144,7424,4352,2304,2560,1536,0,0
amber,6,0,2560,0,0,4864,8192,4608,1536,6400,7680,4352,2304,2560,1536,0,0
amber,7,0,2560,0,0,4864,8192,4608,1536,6400,7680,4352,2048,2560,1792,0,0
amber,8,0,2560,0,0,4864,8192,4608,1536,6144,7680,4352,2048,2560,1536,0,0
amber,9,0,2560,0,0,4864,8192,4608,1536,6144,7424,4352,2048,2560,1536,0,0
amber,10,0,2560,0,0,5120,8192,4864,1536,6144,7936,4352,2304,2560,1536,0,0
amber,11,0,2304,0,0,5120,8192,4864,1536,6144,7680,4608,2048,2816,1536,0,0
amber,12,0,2304,0,0,5120,8192,4864,1536,6400,7936,4352,2304,2816,1536,0,0
amber,13,0,2560,0,0,5376,8448,4608,1792,6400,7680,4352,2304,2816,1536,0,0
amber,14,0,2560,0,0,5376,8448,4864,1536,6144,7936,4352,2304,2816,1792,0,0
amber,15,0,2560,0,0,5120,8192,4864,1536,6144,7680,4608,2304,2816,1792,0,0
amber,16,0,2560,0,0,5120,8448,4864,1536,6144,8192,4608,2304,2816,1792,0,0
amber,17,0,2560,0,0,4864,8448,5120,1536,6144,8448,4608,2304,2816,1792,0,0
amber,18,0,2816,0,0,4864,8448,5120,1536,6144,8448,4352,2304,2816,1792,0,0
amber,19,0,2816,0,0,5120,8192,4864,1536,6144,8192,4352,2048,2816,2048,0,0
amber,20,0,2560,0,0,5120,8448,5120,1792,6400,8448,3584,2304,2560,1024,0,0
amber,21,0,2816,0,0,5120,8448,5120,1792,6656,8448,4096,2560,3328,2560,0,0
amber,22,0,2816,0,0,5120,8448,4352,256,6656,8192,4352,2304,3072,3072,0,0
amber,23,0,2304,0,0,4608,7680,5632,3072,5632,7936,3840,1792,4096,2048,0,0
amber,24,0,2816,0,0,5120,4864,5632,6144,5888,7168,3072,1792,5120,2560,0,0
amber,25,0,3840,0,0,5120,9472,7168,12800,6400,8192,2560,2048,7424,3072,0,0
amber,26,512,5888,0,0,4096,13312,9216,15616,5888,6656,2560,2048,9216,2560,3072,0
amber,27,512,6656,0,0,4608,14592,9472,16384,5120,5888,2048,1280,14080,3328,4864,0
amber,28,512,5632,0,0,4608,15360,10496,16128,3840,5376,2048,1280,20736,3584,9728,0
amber,29,768,6912,0,0,4352,20736,11264,17920,3328,4096,2304,1536,24576,3840,13312,0
amber,30,1024,5632,0,0,5376,28160,12288,18176,4608,4352,2304,2048,30720,4352,19712,0
amber,31,256,7424,0,0,5120,33536,12544,18176,3840,4096,2304,512,29696,5888,18432,0
amber,32,0,8960,0,0,5632,36096,13312,21248,4352,4864,2304,0,34304,7168,18432,0
amber,33,256,9984,0,0,8960,36608,16896,22528,3840,4352,1792,0,35072,8448,16128,0
amber,34,0,10752,0,0,17920,39936,17408,20224,3840,4096,768,0,39168,14336,18688,0
amber,35,0,12032,0,0,19712,50432,19200,29184,2560,2560,1280,0,39424,12032,24064,0
amber,36,0,13568,0,0,18176,51456,19456,30720,2048,3328,768,0,35328,11520,20224,0
amber,37,0,12800,0,0,17408,38144,14848,23296,2304,3072,1792,0,27648,9216,13312,0
amber,38,0,11264,0,0,11776,30464,13312,18176,2816,3072,1024,0,22272,4352,5888,0
amber,39,0,7424,0,0,8192,25344,11520,17152,4096,4352,1536,256,16896,3072,1024,0
amber,40,0,7168,0,0,7936,22016,11520,16384,3328,3328,2560,768,14080,3072,0,0
amber,41,0,5888,0,0,7936,20480,10496,14336,3840,3840,2816,768,14336,2048,0,0
amber,42,0,6400,0,0,5120,19968,7168,14336,4096,3328,2304,1280,15872,3328,0,0
amber,43,0,6400,0,0,5120,16640,7424,10752,3584,4096,3840,1792,11264,4352,0,0
amber,44,0,4352,0,0,4864,13568,6144,10752,4096,4608,2816,2560,5376,2560,0,0
amber,45,0,5120,0,0,5632,13056,5632,11008,4608,5120,3072,1536,3328,1024,0,0
amber,46,0,4352,0,0,4864,12800,4608,9984,4608,4608,2816,1280,1536,2304,0,0
amber,47,0,3072,0,0,4608,12032,4864,7424,5120,4352,3584,1792,512,2560,0,0
amber,48,0,2560,0,0,5376,8960,3328,4864,5632,5376,3840,1792,768,2048,0,0
amber,49,0,3584,0,0,4608,8192,1536,2816,6400,5376,3072,1536,768,1536,0,0
