label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
amber,0,0,2048,0,0,4608,9984,2560,1536,6144,6656,4096,2816,1792,2048,0,0
amber,1,0,2048,0,0,4608,9728,2560,1280,6144,6400,3840,2816,1792,2048,0,0
amber,2,0,1792,0,0,4352,9472,2816,1280,6144,6400,3840,3328,1792,2048,0,0
amber,3,0,1536,0,0,4352,9472,2816,1280,6144,6400,3840,3328,1792,2048,0,0
amber,4,0,1536,0,0,4352,9472,2816,1280,6144,6656,3840,3584,1792,2048,0,0
amber,5,0,1792,0,0,4352,9472,2816,1280,6144,6400,3584,3328,1792,2048,0,0
amber,6,0,1792,0,0,4608,9216,2816,1280,5888,6400,3584,3584,1792,2048,0,0
amber,7,0,1792,0,0,4352,8960,2816,1280,6400,6400,3328,3584,1792,2048,0,0
amber,8,0,1792,0,0,4608,8960,2816,1280,6400,6656,3328,3584,1792,2048,0,0
amber,9,0,1536,0,0,4608,8960,2816,1280,6144,6400,3072,3584,1792,2048,0,0
amber,10,0,1280,0,0,4608,8704,3072,1280,6400,6400,3072,3840,1792,2048,0,0
amber,11,0,1280,0,0,4608,8960,3072,1536,6144,6656,3072,3584,1792,1792,0,0
amber,12,0,1280,0,0,4608,9216,3072,1536,6400,6656,3072,3584,1792,1792,0,0
amber,13,0,1280,0,0,4352,9216,3072,1536,6144,6656,3072,3584,1536,2048,0,0
amber,14,0,1536,0,0,4352,9216,3072,1536,6144,6656,3328,3584,1792,1792,0,0
amber,15,0,1280,0,0,4096,9216,3328,1536,6144,6656,3328,3584,1792,1792,0,0
amber,16,0,1536,0,0,4352,9216,3328,1792,6144,6912,3328,3584,1792,2048,0,0
amber,17,0,1280,0,0,4352,9472,3072,1792,6400,6656,3584,2304,1792,1792,0,0
amber,18,0,1536,0,0,4352,8960,3584,2048,6400,6656,3584,2560,1536,1792,0,0
amber,19,0,512,0,0,4352,9216,3328,2048,6400,6144,3840,3072,1792,768,0,0
amber,20,0,1536,0,0,4352,8704,4352,1792,5888,7680,3840,2560,1536,1280,0,0
amber,21,0,1280,0,0,4352,7680,5376,3072,6400,6656,4096,2560,3328,1024,0,0
amber,22,0,1280,0,0,3840,8448,7168,5376,4352,6144,3584,3072,4096,3840,1536,512
amber,23,0,1792,0,0,3840,13312,9216,9472,5376,4096,1792,1536,8448,12544,7936,1792
amber,24,0,2304,0,0,3072,13312,11264,8960,3072,3072,512,0,10752,21760,10496,3072
amber,25,0,2560,0,0,2560,13568,12032,8960,1792,1280,0,0,13312,28928,13568,4864
amber,26,0,2816,0,0,2816,18688,10496,8704,1792,1536,0,0,17152,32256,18176,6400
amber,27,0,1792,0,0,2816,24576,14592,10240,768,1536,0,0,17152,36864,25344,8448
amber,28,0,2560,0,0,3584,33792,17664,8960,0,1024,0,0,21760,38656,27648,9216
amber,29,0,3328,0,0,2816,48896,24832,9984,0,256,0,0,24576,41984,26368,16896
amber,30,0,5120,0,0,2816,2561,29440,10496,0,0,0,0,29440,40704,26880,15872
amber,31,0,6912,0,0,4608,12033,32000,10752,0,0,0,0,28928,33280,28160,15872
amber,32,0,9472,0,0,9472,20481,33792,11776,0,0,0,0,29440,26624,32768,22272
amber,33,0,13056,0,0,11776,48129,56320,16896,0,0,0,0,27904,24576,34816,26112
amber,34,256,16128,0,0,9728,52993,1537,22272,0,0,0,0,25344,24064,28672,22784
amber,35,0,10240,0,0,9728,39937,52480,16384,0,0,0,0,24320,23808,25088,17664
amber,36,256,6656,0,0,7680,11265,29440,9984,0,0,0,0,15872,19968,22016,15104
amber,37,0,5632,0,0,7168,58368,17408,7424,0,0,0,0,12544,16128,17920,11008
amber,38,0,3584,0,0,4608,46592,16896,5888,0,0,0,0,11264,7680,5376,5120
amber,39,0,3840,0,0,5376,35840,14080,8192,0,0,0,0,8704,7936,3072,4864
amber,40,0,3328,0,0,4864,21504,12288,7424,256,1024,0,0,6144,4608,0,2048
amber,41,0,1536,0,0,3328,17408,10496,8192,1280,1024,1024,0,3840,4352,512,1536
amber,42,0,512,0,0,2816,12800,9728,5632,2304,2304,1280,0,2048,2560,0,0
amber,43,0,512,0,0,3840,10752,5632,5120,3072,2560,1792,0,1280,768,0,0
amber,44,0,0,0,0,4096,11520,5632,3840,3328,3328,2304,256,256,1024,0,0
amber,45,0,0,0,0,3840,11776,4608,3584,3584,2816,1792,1024,0,0,0,0
amber,46,0,0,0,0,3328,9728,3072,4096,4096,3328,2560,768,0,0,0,0
amber,47,0,0,0,0,3584,8704,2048,2816,4352,4352,3840,1024,0,512,0,0
amber,48,0,0,0,0,4864,9216,1024,2048,4864,4352,3840,1280,512,0,0,0
amber,49,0,0,0,0,3840,6912,768,1792,5632,3328,4608,768,0,0,0,0
