label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
jay,0,0,1536,0,0,6656,5888,7936,3072,8448,12544,5888,3584,3840,4864,0,0
jay,1,0,1536,0,0,6656,5888,7936,3072,8192,12544,6144,3840,3840,4608,0,0
jay,2,0,1280,0,0,6656,5888,7936,3072,8448,12800,6144,3840,3840,4608,0,0
jay,3,0,1536,0,0,6656,6144,7936,3072,8448,12800,6144,3840,3840,4608,0,0
jay,4,0,1536,0,0,6656,6144,7936,3072,8192,12544,6144,3584,3840,4608,0,0
jay,5,0,1792,0,0,6912,6144,7936,3072,8448,12544,6144,3840,3840,4608,0,0
jay,6,0,1792,0,0,6912,6400,7680,3072,8448,12288,6144,3840,3840,4608,0,0
jay,7,0,1792,0,0,6912,6400,7680,3072,8448,12288,6144,3840,3840,4352,0,0
jay,8,0,1792,0,0,6912,6400,7680,3072,8448,12544,6144,3584,3840,4352,0,0
jay,9,0,1792,0,0,6912,6400,7680,3072,8448,12800,6400,3840,3840,4352,0,0
jay,10,0,2048,0,0,6912,6400,7936,3072,8704,12800,6144,3840,3840,4352,0,0
jay,11,0,1792,0,0,6912,6144,7680,3072,8704,12544,6400,3840,3840,4608,0,0
jay,12,0,1792,0,0,6912,6144,7936,2816,8704,12288,6400,3840,3840,4352,0,0
jay,13,0,1792,0,0,6912,6400,7936,2816,8704,12288,6400,3840,3840,4608,0,0
jay,14,0,1792,0,0,7424,6400,7680,2816,8704,12288,6144,3840,3840,4608,0,0
jay,15,0,1792,0,0,7424,6400,7680,3072,8704,12544,6400,3840,3840,4352,0,0
jay,16,0,2048,0,0,7424,6400,7680,3072,8448,12544,6400,3840,3840,4352,0,0
jay,17,0,0,0,0,5376,5888,7424,3072,8448,12288,6144,3328,3584,4352,0,0
jay,18,0,0,0,0,4352,6144,6912,2816,7168,10752,5888,3584,3072,4352,0,0
jay,19,0,0,0,0,4864,4864,5888,2816,6656,9216,6400,3840,1792,3840,0,0
jay,20,0,256,0,0,4608,4864,6912,2560,7168,12544,7680,3584,0,3584,0,0
jay,21,0,4608,0,0,5888,5376,5376,2048,6400,14080,7424,4608,0,4352,0,0
jay,22,0,9472,0,0,4608,6400,6144,2048,7424,16384,8448,5632,256,3072,0,0
jay,23,0,12544,0,0,4864,7424,7936,2304,7680,13312,9216,5376,256,3840,0,0
jay,24,0,14080,0,0,4864,7168,6656,3328,6656,13056,7168,6144,1280,5632,0,0
jay,25,0,13312,0,0,4608,7424,8960,3840,7424,15104,8704,5632,1024,5632,0,0
jay,26,0,17664,0,0,6400,9216,9728,5632,8192,17152,8960,5888,1536,5120,0,0
jay,27,0,17920,0,0,5376,10240,10752,6144,8960,22272,8960,5888,1536,4864,0,0
jay,28,0,21504,0,0,4608,11264,10496,5120,11520,21248,10240,6912,0,4096,0,0
jay,29,0,24064,0,0,5632,11264,9728,4608,12800,21760,10240,6400,0,4096,0,0
jay,30,0,25344,0,0,5888,10752,8960,4864,11520,24832,9216,6400,256,4352,0,0
jay,31,0,25088,0,0,5632,12288,9728,5120,13056,22784,11520,6912,0,3840,0,0
jay,32,0,19200,0,0,5376,11264,8192,4608,12800,23296,10752,6912,0,3072,0,0
jay,33,0,18944,0,0,5376,10240,8192,3840,12800,20224,11520,5888,0,3328,0,0
jay,34,0,17408,0,0,5632,12032,8960,3584,13056,20224,9728,7680,0,2048,0,0
jay,35,0,13568,0,0,6144,11776,8960,4096,9984,16640,8192,7680,0,3584,0,0
jay,36,768,13824,0,0,6656,12032,8448,4352,8960,16896,9216,7424,512,3072,0,0
jay,37,0,13312,0,0,6400,11776,7936,3840,9984,16640,9216,6912,768,3328,0,0
jay,38,0,12288,0,0,6144,11008,7936,3840,9216,16128,9472,6400,1024,3840,0,0
jay,39,0,9472,0,0,6656,7680,7168,3840,9984,13824,8960,7424,1280,3072,0,0
jay,40,0,10240,0,0,6912,6656,7680,3584,9728,13056,7424,5888,1280,3072,0,0
jay,41,0,7168,0,0,7936,7168,6656,3072,11264,11520,6656,5632,2048,2816,0,0
jay,42,0,5376,0,0,9216,6912,6912,3584,10240,11520,6912,6144,1792,3328,0,0
jay,43,0,5120,0,0,8704,5888,5888,2560,8960,12032,8448,4608,2304,3072,0,0
jay,44,0,4096,0,0,6912,6144,5632,2304,7680,10496,6912,4096,1792,4352,0,0
jay,45,0,3840,0,0,6912,5632,6656,3072,8704,12544,4608,4352,1792,4096,0,0
jay,46,0,3840,0,0,6656,5888,6656,3072,8448,14080,5376,3840,1280,4096,0,0
jay,47,0,3328,0,0,5632,6400,6656,3328,8448,9472,4608,3584,2304,2048,0,0
jay,48,0,3328,0,0,6656,6144,6912,2816,8192,10240,5632,3584,3072,3328,0,0
jay,49,0,3072,0,0,7680,6656,7424,3072,7936,9728,5888,3584,3584,4864,0,0
