label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
jay,0,0,256,0,0,7424,9216,8960,2304,11008,10240,7936,4096,3840,5888,0,0
jay,1,0,256,0,0,7424,9216,8960,2304,11008,10240,7936,4096,3840,5888,0,0
jay,2,0,256,0,0,7424,9216,8960,2304,11008,10240,7936,4096,3840,5888,0,0
jay,3,0,256,0,0,7424,9216,8960,2304,11008,10240,7936,4096,3840,5888,0,0
jay,4,0,256,0,0,7424,9216,8960,2304,11008,10240,7680,4096,3840,5888,0,0
jay,5,0,256,0,0,7424,9216,8960,2560,11008,10240,7936,4096,3840,5888,0,0
jay,6,0,512,0,0,7424,9216,8960,2304,11008,10240,7936,4096,3840,5632,0,0
jay,7,0,256,0,0,7424,9216,8960,2304,11008,10496,7936,4096,3840,5632,0,0
jay,8,0,256,0,0,7680,9472,8960,2560,11008,10496,7936,4096,3840,5888,0,0
jay,9,0,512,0,0,7680,9216,9216,2560,11008,10496,7936,4096,3840,5888,0,0
jay,10,0,256,0,0,7680,9216,9216,2560,11008,10240,7936,4096,3840,5888,0,0
jay,11,0,256,0,0,7680,9216,9216,2560,11008,10240,7936,4096,3840,5888,0,0
jay,12,0,256,0,0,7424,9216,9216,2560,11008,10240,7936,4096,3840,5888,0,0
jay,13,0,256,0,0,7680,9216,9216,2560,11008,10240,7936,4096,3840,5888,0,0
jay,14,0,256,0,0,7680,9216,8960,2560,11008,10240,7936,4096,3840,5632,0,0
jay,15,0,0,0,0,7680,9216,9216,2560,11008,10496,7936,4096,3840,5888,0,0
jay,16,0,512,0,0,5888,8192,8448,2304,8704,9216,6400,4096,3328,6144,0,0
jay,17,0,0,0,0,4352,8704,8448,2560,5120,9728,4864,2816,3072,11264,9216,0
jay,18,0,0,0,0,3840,5376,4608,256,4352,9216,5120,1280,512,21248,12032,0
jay,19,0,1792,0,0,3328,3584,3328,0,4352,11520,4096,0,0,24576,8704,0
jay,20,0,2048,0,0,2816,6656,3584,0,4864,13568,4352,0,0,22272,6656,0
jay,21,0,5632,0,0,2816,9216,4096,0,3840,16384,5888,0,0,25344,8960,0
jay,22,0,9216,0,0,2304,11776,3072,0,4096,17152,5888,0,0,22528,8960,0
jay,23,0,11008,0,0,2560,12288,4352,0,5888,14592,7680,0,0,20480,10496,0
jay,24,0,12800,0,0,2560,15360,7168,0,6400,16384,8960,0,0,19712,11776,0
jay,25,0,14592,0,0,2560,13568,8192,0,11520,21760,9216,0,0,22784,12800,0
jay,26,0,17664,0,0,3584,15872,6656,768,12288,21760,10496,512,0,22272,13824,0
jay,27,0,18432,0,0,3328,18944,7936,1792,15616,24320,11264,1536,0,21248,13056,0
jay,28,0,19200,0,0,4096,19456,8704,2304,17920,24832,13056,2048,0,20992,14848,0
jay,29,0,20736,0,0,3840,20992,8960,2816,19456,26880,13568,2816,0,21760,13312,0
jay,30,0,22016,0,0,4352,21760,9216,3072,19968,27392,13056,2560,0,21248,11520,0
jay,31,0,21248,0,0,5632,22528,9728,3840,20480,28416,14080,3584,0,21248,13056,0
jay,32,0,20480,0,0,5888,22528,8448,3840,18688,27392,14848,4096,0,21504,12288,0
jay,33,1024,23552,0,0,5632,23296,10240,3072,16128,29184,16128,4096,0,21504,14848,0
jay,34,0,25344,0,0,5632,23552,12032,4352,12800,27136,16384,5120,0,21248,13568,0
jay,35,0,26368,0,0,5120,23808,13056,5376,13824,28416,16384,4864,256,22272,10240,0
jay,36,256,26368,0,0,4608,23296,12800,4864,15360,28928,18944,4864,0,25088,11008,0
jay,37,0,17920,0,0,5632,21504,9472,4864,15360,28928,17664,4096,256,23296,11264,0
jay,38,256,16384,0,0,5632,20224,7680,3584,14080,28416,15104,4096,0,23552,10496,0
jay,39,256,16640,0,0,5376,17152,8192,2816,12544,25856,12800,4608,0,19968,11776,0
jay,40,512,14848,0,0,5376,18432,7680,3072,12544,27392,15872,4096,256,20480,12288,0
jay,41,512,15616,0,0,5120,19456,8704,3072,12288,25856,16640,4608,256,22272,12288,0
jay,42,0,15360,0,0,5120,15360,7680,3584,10496,24320,15104,5376,512,20992,11264,0
jay,43,0,16384,0,0,5376,13568,8448,2816,11008,23296,15616,4352,0,18944,13312,0
jay,44,0,11776,0,0,7424,11520,7680,3072,8960,22528,14592,4352,1024,17408,11008,0
jay,45,0,11008,0,0,6656,11264,7936,2560,7168,19968,11520,4352,2304,16128,9216,0
jay,46,0,9216,0,0,5632,11520,7424,3072,6912,18432,9728,3840,1792,16128,8192,0
jay,47,0,7680,0,0,6400,11264,8192,3584,8704,17408,11520,4608,1536,12544,7680,0
jay,48,0,4096,0,0,5888,7424,8704,3072,7936,13568,8960,5888,768,11008,7936,0
jay,49,0,4864,0,0,6656,7168,7936,3072,8960,14080,7680,4608,256,11776,5632,0
