label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
jay,0,0,0,0,0,7424,7424,6912,1792,9216,11776,5888,3584,2560,6400,0,0
jay,1,0,0,0,0,7424,7168,6912,1792,9472,11520,5888,3584,2816,6656,0,0
jay,2,0,0,0,0,7680,6912,7168,1792,9216,11776,5888,3584,2560,6400,0,0
jay,3,0,0,0,0,7680,6912,6912,1792,9216,11776,5888,3584,2816,6144,0,0
jay,4,0,0,0,0,7680,7424,6912,1792,8960,11776,5888,3584,2816,6400,0,0
jay,5,0,0,0,0,7424,7424,6912,1792,8960,11776,5888,3584,2816,6400,0,0
jay,6,0,0,0,0,7680,7424,6912,1792,9216,12032,5888,3584,2816,6144,0,0
jay,7,0,0,0,0,7424,7424,6912,1792,8960,11520,5888,3584,2816,6400,0,0
jay,8,0,0,0,0,7424,7168,6912,1792,8960,11520,5888,3584,2816,6400,0,0
jay,9,0,0,0,0,7936,7168,7168,2048,8960,11264,5632,3584,2816,6912,0,0
jay,10,0,0,0,0,7936,6912,5888,1536,8704,11520,5888,2560,2816,6144,0,0
jay,11,0,0,0,0,7680,7168,6912,2048,8960,12032,5632,3328,2816,5632,0,0
jay,12,0,0,0,0,7936,7680,6912,2048,9216,11520,5888,3328,2816,6144,0,0
jay,13,0,0,0,0,4096,4352,6400,1792,6912,10496,6400,3328,2816,6400,0,0
jay,14,0,0,0,0,3328,4096,5888,1792,6400,9472,6400,3328,1792,5888,0,0
jay,15,0,0,0,0,5376,4864,5888,1792,6656,8448,4608,3328,1536,5120,0,0
jay,16,0,0,0,0,4864,6144,5888,2560,6400,11264,7168,4608,2560,3584,0,0
jay,17,0,0,0,0,6400,5376,5632,2816,6144,10752,5888,5120,0,4352,0,0
jay,18,0,256,0,0,6912,6656,8704,4352,6400,13312,6912,5376,256,3072,0,0
jay,19,0,2304,0,0,8192,5376,8960,5632,6912,14080,6912,5632,2048,3584,0,0
jay,20,0,4864,0,0,6656,4864,7936,5120,6656,13824,7424,5632,1024,5888,256,0
jay,21,0,7168,0,0,5120,5888,8448,6400,6912,16128,6400,5632,1536,4864,768,0
jay,22,0,8192,0,0,6400,5888,8960,7424,6912,17920,7424,6400,1280,4352,0,0
jay,23,0,8704,0,0,5120,4864,8448,10240,6400,18176,8192,5888,1536,4864,0,0
jay,24,0,11264,0,0,5632,4608,7424,10752,6656,18944,8960,6400,512,3840,1792,0
jay,25,0,13312,0,0,5888,5120,6912,10240,4608,20480,9984,6144,0,5376,3584,0
jay,26,0,16128,512,0,4864,7424,4864,8960,6912,20736,10496,5120,1024,4864,3584,0
jay,27,0,15104,512,0,5120,8192,5376,8192,6656,20992,10752,7168,1536,5120,2304,0
jay,28,0,14592,1280,0,5888,5632,4608,5888,5632,21760,11008,5632,2304,5888,2048,0
jay,29,0,12032,1536,0,4608,5120,3328,5376,5376,20992,11264,4864,2304,4096,1024,0
jay,30,0,9984,1280,0,4864,5376,3584,5376,5888,23040,10240,5376,3328,3584,0,0
jay,31,0,8960,0,0,5120,4864,3584,6400,6400,20480,9216,3840,2048,1280,0,0
jay,32,0,7168,0,0,5888,4352,4096,6144,5120,18688,6912,4608,4352,3072,0,0
jay,33,0,7680,0,0,6144,3840,5120,5376,4864,18944,5632,4864,6144,2560,0,0
jay,34,0,7424,0,0,7424,4864,4608,5120,5632,18176,6400,3072,8448,3072,0,0
jay,35,0,5632,0,0,7680,3840,5632,4352,5376,19712,6144,4352,6912,1792,0,0
jay,36,0,5376,0,0,8192,3840,6144,4096,7168,14336,6400,3328,6656,3584,0,0
jay,37,0,2816,0,0,8192,4096,5120,4352,6656,11776,5120,3584,3840,3072,0,0
jay,38,0,2304,0,0,6656,3840,4864,3584,7680,12544,5376,4608,2048,4352,0,0
jay,39,0,1536,0,0,6656,3328,4096,2816,7936,11520,6912,4864,2048,2560,0,0
jay,40,0,0,0,0,5376,4608,4352,3840,8448,9216,5120,4096,2816,1280,0,0
jay,41,0,1024,0,0,5376,5376,5120,3584,7936,10752,5120,3072,3328,2560,0,0
jay,42,0,1024,0,0,6400,4864,4352,3328,7424,8960,4608,2560,3072,2560,0,0
jay,43,0,512,0,0,6912,4608,4608,3328,7424,9728,5120,2816,2560,3584,0,0
jay,44,0,512,0,0,5888,5120,5376,3328,8192,9216,5120,1792,2816,3328,0,0
jay,45,0,512,0,0,6656,4864,5632,3328,8192,9216,5120,1792,2560,3584,0,0
jay,46,0,768,0,0,6144,4608,5376,3328,8448,9984,4608,2304,3072,3840,0,0
jay,47,0,512,0,0,5376,5376,5376,2816,8448,10240,5632,2304,2560,2816,0,0
jay,48,0,768,0,0,5632,5376,5632,2560,8192,9728,5632,2816,2816,4352,0,0
jay,49,0,512,0,0,5120,4608,5632,2560,8192,9984,5632,2816,2816,3584,0,0
