label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
jay,0,0,1024,0,0,6400,6400,7424,3328,8192,13056,6400,4352,3328,5376,0,0
jay,1,0,1024,0,0,6400,6400,7424,3328,8192,13312,6400,4096,3072,5376,0,0
jay,2,0,1024,0,0,6656,6656,7424,3328,8192,13312,6400,4352,3328,5120,0,0
jay,3,0,1024,0,0,6400,6912,7680,3328,8192,13056,6400,4096,3328,5376,0,0
jay,4,0,1024,0,0,6144,6912,7680,3328,8448,13312,6400,4096,3328,5376,0,0
jay,5,0,1024,0,0,6400,7168,7424,3328,8448,13312,6400,4352,3328,5376,0,0
jay,6,0,1024,0,0,6144,6912,7680,3072,8192,13056,6400,4352,3072,5376,0,0
jay,7,0,1024,0,0,6144,7168,7680,3328,8448,13056,6656,4352,3072,5120,0,0
jay,8,0,1024,0,0,5888,7168,7680,3072,8192,13056,6656,4352,3072,5120,0,0
jay,9,0,1024,0,0,6400,7168,7424,3072,8704,12800,6656,4352,3328,5376,0,0
jay,10,0,1024,0,0,6400,7168,7680,2304,8192,12288,4864,3840,3328,5632,0,0
jay,11,0,1280,0,0,6400,7424,7424,3328,8192,12544,5120,3072,3328,5632,0,0
jay,12,0,1280,0,0,5888,7168,7168,3328,8192,12800,5376,4096,3328,5632,0,0
jay,13,0,1280,0,0,6656,6912,7168,3328,7936,12800,5376,4096,3328,5632,0,0
jay,14,0,1280,0,0,6400,6912,6912,3328,6912,12544,5376,4352,3328,5376,0,0
jay,15,0,768,0,0,6656,5888,7168,3072,8448,13568,7936,4608,2816,4864,0,0
jay,16,0,0,0,0,2560,3840,8192,3072,5888,9984,6400,3584,2816,4864,0,0
jay,17,0,0,0,0,2816,2816,5376,3072,4864,11264,5888,4096,1792,4608,0,0
jay,18,0,0,0,0,3072,4352,5376,2816,5888,9984,7936,4096,1024,3072,0,0
jay,19,0,768,0,0,4864,6912,5632,2816,6144,10752,8704,3584,256,3840,0,0
jay,20,0,2304,0,0,4352,11008,5120,2048,7680,11264,8192,5120,1536,4352,0,0
jay,21,0,5376,0,0,5632,13312,7168,2816,6656,14592,9472,5120,2816,2560,0,0
jay,22,512,7936,0,0,4352,11776,6144,2560,8192,15616,11008,6144,3072,2816,0,0
jay,23,2560,10752,0,0,3072,15104,8192,3072,9472,15104,11008,5632,4864,3840,0,0
jay,24,3072,12800,0,0,4608,16384,8704,2816,9728,16128,11008,6144,4864,3840,0,0
jay,25,2048,16128,0,0,4608,20736,6912,2560,12288,18176,12288,5632,6144,4608,2048,0
jay,26,3072,22272,0,0,3584,26112,7680,2560,20992,25344,11520,5632,2816,4608,768,0
jay,27,2816,29440,0,0,4608,25344,9472,2816,18944,24320,11008,6656,3072,3584,0,0
jay,28,3072,25088,0,0,5632,25856,10240,3584,17920,25344,11008,6656,3072,5120,0,0
jay,29,4096,23040,0,0,6656,22528,8960,3072,14848,24832,11776,5888,1792,7168,1536,0
jay,30,3328,19968,0,0,6400,22784,8448,3072,14080,25088,11008,5888,1280,5632,0,0
jay,31,3840,17408,0,0,8960,19968,8704,3328,11264,20992,8960,6400,1280,4352,0,0
jay,32,4352,15104,0,0,9216,16384,8448,2816,9472,17408,8960,6400,1792,4608,0,0
jay,33,2816,12544,0,0,9728,14592,9472,2816,9984,13568,7424,5376,1280,2816,0,0
jay,34,2048,11008,0,0,9216,13568,9216,3328,9984,13824,9216,4864,1792,3328,0,0
jay,35,0,9472,0,0,8448,11264,8192,3328,9216,12544,7680,4608,1536,4352,0,0
jay,36,0,7680,0,0,7168,10752,7936,2816,8960,12288,8192,4352,2048,3840,0,0
jay,37,0,6144,0,0,8704,8448,7424,2304,7936,10496,7168,4864,1536,3328,0,0
jay,38,0,3072,0,0,8448,6656,8192,2560,7424,10496,6656,3328,1024,3584,0,0
jay,39,0,1280,0,0,8448,8448,6400,3328,7936,10496,6656,3328,768,3072,0,0
jay,40,0,1792,0,0,7424,5376,7680,2560,8448,10240,7168,4864,1280,4352,0,0
jay,41,0,2560,0,0,7168,5888,8192,2816,9472,10240,5120,3584,1280,3328,0,0
jay,42,0,2304,0,0,7424,6912,9472,2816,8960,11520,6400,3072,1280,2816,0,0
jay,43,0,2304,0,0,7424,6656,10240,2560,8960,12288,6656,3328,2048,4096,0,0
jay,44,0,2048,0,0,8192,6912,9984,2304,8960,12032,6912,3072,2560,3328,0,0
jay,45,0,2304,0,0,8448,6912,9728,2560,9216,11776,7168,3328,2560,3840,0,0
jay,46,0,2304,0,0,7936,6656,9728,2816,8960,12032,7424,3328,2816,3840,0,0
jay,47,0,2304,0,0,8192,6400,9472,2560,8960,12288,7424,4352,2560,4352,0,0
jay,48,0,2048,0,0,7936,6400,8960,2816,9216,12544,7936,4096,2816,4096,0,0
jay,49,0,1536,0,0,8192,6144,9728,2560,8960,12288,7936,3072,2816,4608,0,0
