label,frame_index,hex_packet
jay,0,00 00 00 00 1300 1500 1b00 f00 1900 1300 1600 1400 00 300 100 00
jay,1,00 00 00 00 1100 1600 1900 f00 1c00 1400 1500 1400 00 600 00 00
jay,2,00 00 00 00 1100 1600 1c00 1000 1c00 1400 1700 1400 00 200 00 00
jay,3,00 00 00 00 1100 1700 1c00 1100 1b00 1400 1800 1400 00 400 00 00
jay,4,00 00 00 00 f00 1600 1b00 1000 1a00 1400 1700 1400 00 500 00 00
jay,5,00 00 00 00 e00 1600 1d00 1000 1b00 1600 1700 1400 00 600 00 00
jay,6,00 00 00 00 f00 1300 1c00 1000 1900 1500 1700 1400 00 600 00 00
jay,7,00 00 00 00 1000 1400 1900 1000 1900 1600 1800 1500 00 600 00 00
jay,8,00 100 00 00 1000 1600 1900 1100 1800 1500 1800 1400 00 700 100 00
jay,9,00 100 00 00 1000 1900 1800 1100 1800 1600 1700 1400 00 500 100 00
jay,10,00 100 00 00 1000 1700 1a00 1100 1900 1700 1700 1400 00 500 100 00
jay,11,00 00 00 00 1100 1800 1c00 1100 1700 1600 1600 1400 00 500 100 00
jay,12,00 00 00 00 1100 1600 1900 1000 1900 1600 1500 1500 00 600 100 00
jay,13,00 100 00 00 1200 1600 1b00 1000 1900 1600 1500 1500 00 800 200 00
jay,14,00 100 00 00 1400 1600 1b00 1100 1a00 1800 1400 1500 00 800 100 00
jay,15,00 100 00 00 1400 1600 1c00 1000 1b00 1800 1400 1500 00 900 100 00
jay,16,00 00 00 00 1500 1700 1b00 1100 1a00 1600 1500 1500 00 900 100 00
jay,17,00 00 00 00 1600 1700 1900 1000 1900 1600 1500 1600 00 900 100 00
jay,18,00 00 00 00 1500 1600 1900 1100 1800 1600 1500 1600 00 900 200 00
jay,19,00 100 00 00 1500 1500 1a00 1100 1a00 1600 1500 1600 00 800 100 00
jay,20,00 100 00 00 1500 1600 1b00 1100 1900 1800 1600 1500 00 500 100 00
jay,21,00 00 00 00 1700 1500 1b00 1100 1800 1800 1600 1600 00 600 100 00
jay,22,00 00 00 00 1700 1800 1e00 1200 1a00 1600 1200 1400 00 500 100 00
jay,23,00 00 00 00 1700 1900 1c00 1200 1b00 1200 1600 1600 00 800 100 00
jay,24,00 00 00 00 1600 1800 1d00 1100 1700 1600 1300 1200 00 700 00 00
jay,25,00 00 00 00 1200 1700 1a00 d00 1a00 1400 1a00 1000 00 600 100 00
jay,26,00 00 00 00 1300 1800 1900 b00 2900 1200 1300 1400 00 700 800 00
jay,27,100 900 00 00 f00 1600 2500 f00 3700 1200 1800 1400 100 e00 b00 00
jay,28,00 e00 00 00 b00 1900 2b00 d00 3900 1e00 1600 800 500 2400 4d00 00
jay,29,00 1400 00 00 d00 1c00 4100 1200 3200 2200 1a00 b00 800 2500 8200 00
jay,30,00 1b00 00 00 e00 3100 5200 1500 3100 1d00 1500 400 2000 2b00 8400 00
jay,31,00 2900 00 00 1300 3900 5400 1100 3900 2700 1700 200 3300 3200 8d00 00
jay,32,00 4500 00 00 1a00 4600 5f00 e00 4500 2e00 1300 00 3800 4600 6500 00
jay,33,00 4c00 00 00 2600 4d00 6100 1100 5500 3200 1700 00 4400 3e00 5b00 00
jay,34,00 5800 00 00 3200 5a00 7500 1300 6700 3e00 1700 00 5500 3d00 5800 00
jay,35,00 5100 00 00 3200 5b00 7e00 1b00 8200 4a00 1600 100 5000 4300 4f00 00
jay,36,00 5200 00 00 3b00 6e00 8900 2400 a400 4900 1400 00 5500 4a00 4a00 00
jay,37,00 5700 00 00 4500 6500 9100 3700 b400 4800 1700 00 6300 4400 5000 00
jay,38,00 6100 00 00 4100 6700 9f00 4600 d200 5800 1e00 400 6b00 4c00 5100 00
jay,39,00 6f00 00 00 4900 7f00 af00 4f00 f000 5600 2500 400 6a00 4d00 5100 00
jay,40,00 6800 00 00 4900 7a00 b400 5200 01 5900 2a00 700 7300 5100 5100 00
jay,41,00 5900 00 00 4c00 7100 ad00 4400 ea00 5b00 2800 800 6300 5300 4f00 00
jay,42,00 5a00 00 00 6000 7200 9300 2d00 bb00 6000 2b00 800 6300 4900 5200 00
jay,43,00 5000 00 00 5900 6a00 6a00 1d00 a000 5700 2a00 300 5a00 4400 4f00 00
jay,44,00 4900 00 00 4d00 6d00 5b00 1a00 8300 5300 2a00 300 4600 3b00 3f00 00
jay,45,00 4000 00 00 4400 6200 4d00 1700 7000 4b00 2c00 500 4100 3600 3e00 00
jay,46,00 3b00 00 00 4700 5a00 5300 1700 6900 4000 2e00 800 4100 2a00 3800 00
jay,47,00 3500 00 00 3b00 5400 3a00 1300 5c00 3800 1f00 a00 3700 1c00 2700 00
jay,48,00 3000 00 00 4000 4b00 3400 1200 5200 2200 1a00 1100 3300 f00 a00 00
jay,49,00 2700 00 00 2f00 3f00 2600 1000 4e00 1f00 1300 f00 2f00 500 00 00
