label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
jay,0,0,768,0,0,7168,6144,7424,2560,7936,12544,5632,4096,3072,4864,0,0
jay,1,0,512,0,0,7168,5888,7424,2560,7936,12544,5632,4096,3072,4864,0,0
jay,2,0,512,0,0,6912,6144,7168,2560,7936,12288,5632,4096,2816,4864,0,0
jay,3,0,768,0,0,6912,6144,7424,2560,7936,12032,5632,4096,3072,4864,0,0
jay,4,0,768,0,0,6656,6144,7168,2560,7936,12032,5632,4096,3072,4864,0,0
jay,5,0,768,0,0,6912,6400,7168,2304,7936,12032,5888,4352,3072,4864,0,0
jay,6,0,768,0,0,6912,6400,7168,2560,7936,12288,5632,4096,3072,4864,0,0
jay,7,0,768,0,0,6912,6144,7168,2304,7936,12032,5888,4096,3072,4864,0,0
jay,8,0,768,0,0,6912,6144,7424,2304,7936,12288,5888,4096,2816,4864,0,0
jay,9,0,768,0,0,6912,5888,7424,2304,8192,12032,5888,3328,3072,4864,0,0
jay,10,0,256,0,0,7168,6144,7168,2304,7936,12032,5888,3584,3072,5120,0,0
jay,11,0,256,0,0,7168,5888,7168,2816,7936,12032,6400,3584,2816,5376,0,0
jay,12,0,256,0,0,6912,5888,7168,2816,7936,12032,6400,3840,3072,5376,0,0
jay,13,0,256,0,0,7168,5888,7168,3072,7936,12288,6400,3584,2816,5376,0,0
jay,14,0,256,0,0,7168,5888,7424,2304,7936,12288,6144,3840,2816,5120,0,0
jay,15,0,0,0,0,6912,6144,7936,2560,8192,11520,5120,2816,3072,5376,0,0
jay,16,0,1792,0,0,6144,6400,6656,2816,5888,12288,5376,3072,3328,5120,0,0
jay,17,0,0,0,0,4608,4608,7424,2560,5632,9984,5888,3328,2816,4096,0,0
jay,18,0,1536,0,0,4608,5376,6912,1280,5376,9728,7424,4352,1792,3328,0,0
jay,19,0,1792,0,0,3328,4608,6656,1536,5888,10240,8448,4352,1792,4352,0,0
jay,20,0,2048,0,0,3584,4864,7168,1024,6912,10752,8960,6400,2048,3584,0,0
jay,21,0,2304,3072,0,4096,5376,8704,512,6656,12544,12032,5632,2304,3840,0,0
jay,22,0,1792,6400,0,3584,5120,6400,256,5888,14592,12800,6656,3328,2304,0,0
jay,23,512,2304,9728,0,3328,4608,8704,0,5888,16640,13056,5120,4096,3840,768,0
jay,24,0,768,11008,0,3072,4352,7680,0,5376,18688,16128,6144,4352,5632,256,0
jay,25,0,768,13824,0,3072,4864,7168,0,2816,20736,17408,6656,4608,4352,2048,256
jay,26,512,0,14336,0,2304,2560,5632,0,2048,22784,17920,6144,5376,5632,3328,0
jay,27,0,0,18176,0,2048,2048,4352,0,2048,28672,18688,6144,5632,4608,3328,0
jay,28,0,0,25088,2304,3072,512,4864,0,2560,38400,21248,4608,5376,5120,4864,0
jay,29,0,0,27904,4864,2048,512,3840,0,3584,42752,21504,5120,4096,4864,4608,0
jay,30,0,0,26624,3584,2560,768,3584,0,3328,43520,22016,6144,2560,3584,0,0
jay,31,0,0,17664,2048,2304,768,3072,0,3584,41216,18944,5376,1536,2560,0,0
jay,32,0,0,10752,1280,2560,1536,2560,0,3840,35072,16640,5888,2304,1792,0,0
jay,33,0,0,8960,1536,3072,2560,4608,0,4352,23040,14080,4608,2304,1792,0,0
jay,34,0,512,4864,256,3840,3072,3072,0,4608,16640,13056,5376,2304,4096,0,0
jay,35,0,768,1792,0,3584,4096,4096,0,4864,14336,11008,6400,1792,3328,0,0
jay,36,0,1280,768,0,3840,3840,4608,0,5376,14080,11520,4352,1024,3840,0,0
jay,37,0,1280,0,0,3840,4096,5632,0,5376,13824,11008,4608,1536,3584,0,0
jay,38,0,2304,0,0,4352,3072,5632,0,5632,13312,11776,4352,256,3072,0,0
jay,39,0,2304,0,0,4096,2816,5632,256,5888,13312,9728,5376,1024,2560,0,0
jay,40,0,1536,0,0,4096,2048,6144,1024,6144,11264,6912,4096,1280,3584,0,0
jay,41,0,1536,0,0,5120,2560,6400,768,7680,9728,5888,4352,1280,3072,0,0
jay,42,0,768,0,0,5632,3584,5888,1280,7168,8192,5888,3840,768,3584,512,0
jay,43,0,1024,0,0,5376,4352,5888,1280,7936,9216,4864,4096,768,3840,0,0
jay,44,0,768,0,0,5376,4864,5376,1280,7424,9728,4608,3840,256,2048,0,0
jay,45,0,256,0,0,5376,4864,6912,1280,7168,9472,4864,4096,1024,2304,0,0
jay,46,0,0,0,0,5120,4864,6912,1536,7168,9984,5120,3328,2304,3328,0,0
jay,47,0,0,0,0,4864,4608,7424,1536,7680,10496,5888,3840,2048,2816,0,0
jay,48,0,0,0,0,4864,4352,7424,1792,7936,10752,6400,3840,2560,4352,0,0
jay,49,0,0,0,0,4864,4608,7168,1536,7936,11264,6400,3584,2048,3328,0,0
