label,frame_index,hex_packet
lin,0,00 00 00 00 1200 d00 1700 700 1300 e00 b00 d00 00 00 00 00
lin,1,00 00 00 00 1200 d00 1700 700 1300 e00 a00 b00 00 00 00 00
lin,2,00 00 00 00 1200 d00 1700 700 1300 e00 b00 b00 00 00 00 00
lin,3,00 00 00 00 1200 d00 1900 700 1300 e00 900 900 00 00 00 00
lin,4,00 00 00 00 1300 d00 1900 700 1300 e00 900 b00 00 00 00 00
lin,5,00 00 00 00 1200 d00 1900 800 1300 e00 b00 d00 00 00 00 00
lin,6,00 00 00 00 1300 d00 1900 800 1300 f00 c00 f00 00 00 00 00
lin,7,00 00 00 00 1300 e00 1900 800 1100 f00 b00 f00 00 00 00 00
lin,8,00 00 00 00 d00 e00 1500 400 d00 b00 900 d00 00 00 00 00
lin,9,00 00 00 00 a00 d00 1700 600 900 a00 c00 c00 00 00 00 00
lin,10,00 400 00 00 800 b00 1c00 700 a00 900 a00 f00 00 00 00 00
lin,11,00 500 00 00 a00 1600 1e00 800 a00 800 600 800 00 00 00 00
lin,12,500 b00 00 00 b00 1a00 2000 e00 c00 900 800 800 00 00 00 00
lin,13,300 600 00 00 a00 2e00 3100 2100 600 b00 400 800 b00 1300 1100 00
lin,14,00 600 00 00 1500 3d00 2d00 3400 400 a00 800 500 1f00 1e00 2900 00
lin,15,00 400 00 00 2900 5200 2e00 4d00 500 500 d00 a00 3d00 2000 3100 00
lin,16,00 00 00 00 5b00 5b00 4000 4600 900 a00 1900 a00 4800 2900 2a00 00
lin,17,00 300 00 00 7000 7300 4d00 2f00 e00 b00 1100 c00 5800 2b00 2700 00
lin,18,00 700 00 00 8700 a300 6800 3500 1400 a00 1100 b00 6400 3300 2000 00
lin,19,00 700 00 00 7600 d500 7d00 5100 1d00 b00 1300 900 7000 3500 f00 00
lin,20,00 700 00 00 7300 b400 6d00 5200 2100 c00 1400 d00 7300 4300 f00 00
lin,21,00 800 00 00 6b00 a400 7f00 5a00 1f00 f00 1600 1000 6a00 5000 1a00 00
lin,22,00 d00 00 00 5900 6700 5200 3500 1400 f00 1500 f00 4e00 4000 2500 00
lin,23,00 d00 00 00 5200 4b00 4500 2e00 b00 1000 1300 b00 1d00 2500 b00 00
lin,24,00 1100 00 00 3e00 3a00 3b00 2d00 b00 f00 1200 800 200 1500 00 00
lin,25,00 1400 00 00 2a00 3900 3000 2800 b00 c00 c00 a00 00 00 00 00
lin,26,00 1700 00 00 1b00 2400 2500 1800 1500 1100 1100 a00 00 00 00 00
lin,27,00 1500 00 00 1700 1a00 2600 1500 c00 1300 b00 e00 00 00 00 00
lin,28,00 c00 00 00 1300 1400 1600 900 c00 c00 b00 a00 00 00 00 00
lin,29,00 b00 00 00 1000 1000 1000 a00 c00 900 400 300 00 00 00 00
lin,30,00 c00 00 00 1100 1100 f00 b00 a00 d00 400 200 00 00 00 00
lin,31,00 00 00 00 1200 1300 e00 900 1000 d00 100 00 00 00 00 00
lin,32,00 00 00 00 1000 1500 1300 800 1300 b00 600 100 00 00 00 00
lin,33,00 00 00 00 1100 1300 1000 a00 1300 d00 600 400 00 00 00 00
lin,34,00 00 00 00 1400 1100 f00 c00 e00 c00 700 800 00 00 00 00
lin,35,00 00 00 00 1300 f00 1400 b00 e00 c00 800 600 00 00 00 00
lin,36,00 00 00 00 e00 1100 f00 800 a00 a00 800 700 00 00 00 00
lin,37,00 00 00 00 d00 1200 1100 a00 b00 b00 b00 400 00 00 00 00
lin,38,00 00 00 00 1000 a00 e00 a00 b00 900 600 00 00 00 00 00
lin,39,00 00 00 00 f00 d00 1100 800 e00 a00 800 00 00 00 00 00
lin,40,00 00 00 00 900 d00 1100 900 1000 d00 800 300 00 00 00 00
lin,41,00 00 00 00 900 e00 1400 900 1100 f00 a00 600 00 00 00 00
lin,42,00 00 00 00 c00 e00 1400 800 900 a00 b00 700 00 00 00 00
lin,43,00 00 00 00 d00 1400 1400 800 e00 c00 a00 700 00 00 00 00
lin,44,00 00 00 00 e00 1300 1100 800 b00 c00 600 800 00 00 00 00
lin,45,00 00 00 00 c00 1100 1300 900 e00 b00 f00 600 00 00 00 00
lin,46,00 00 00 00 1000 1200 1400 900 e00 f00 900 600 00 00 00 00
lin,47,00 00 00 00 1100 1300 1600 800 d00 e00 a00 800 00 00 00 00
lin,48,00 00 00 00 d00 1300 1700 800 a00 d00 c00 900 00 00 00 00
lin,49,00 00 00 00 e00 e00 1500 700 a00 e00 d00 800 00 00 00 00
