label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
666,0,0,256,0,0,6912,8192,8448,2304,9728,13312,7936,5120,3840,7424,0,0
666,1,0,256,0,0,6912,8192,8192,2304,9728,13312,7936,5120,3840,7168,0,0
666,2,0,256,0,0,6912,8192,8192,2304,9728,13312,7680,5120,3840,6912,0,0
666,3,0,512,0,0,6912,8192,8192,2304,9728,13312,7680,5120,3840,7168,0,0
666,4,0,256,0,0,6656,8192,8192,2304,9728,13312,7680,4864,3840,7424,0,0
666,5,0,256,0,0,6656,8192,8192,2304,9728,13056,7680,5120,3840,7936,0,0
666,6,0,256,0,0,6656,8192,7936,2304,9728,13312,7680,5120,3840,7936,0,0
666,7,0,512,0,0,6656,8192,7936,2304,9472,13312,7424,4864,3840,7680,0,0
666,8,0,512,0,0,6656,7936,7936,2304,9472,13312,7424,5120,3840,7936,0,0
666,9,0,256,0,0,6656,7936,7936,2304,9728,13568,7424,5120,3840,7680,0,0
666,10,0,512,0,0,6400,7936,7936,2304,9472,13568,7424,5120,3840,7936,0,0
666,11,0,256,0,0,6144,7936,7936,2304,9984,15104,7168,4608,2816,8192,0,0
666,12,0,0,0,0,5120,6400,8448,2304,11008,14080,7680,3840,1792,5376,0,0
666,13,0,4096,0,0,6144,5888,8448,2560,12288,16384,6656,4096,4352,5376,0,0
666,14,2048,7424,0,0,4096,2048,8192,3072,12800,16384,5376,4352,4864,7680,512,0
666,15,15360,5888,0,0,1792,2560,6656,2048,12032,17664,6400,4096,9984,7680,256,0
666,16,46848,6912,0,0,1536,1536,5120,1792,15104,18432,4608,5376,14592,7168,2560,0
666,17,25857,7936,0,0,1792,1536,5376,2048,24576,24832,6144,5632,22784,6144,1536,0
666,18,59393,6400,0,0,3584,1280,5632,1792,33792,28672,6144,6656,25088,7680,1792,0
666,19,35074,7168,0,0,3840,4608,4864,2048,42752,29184,8704,5888,27648,9216,1792,0
666,20,63490,6912,0,0,5376,5888,4864,256,59648,32000,7936,6144,31744,7936,3840,0
666,21,15107,6912,0,0,6144,8704,5376,512,10497,34816,7936,5376,33792,6656,3840,0
666,22,17411,12288,0,0,5888,18432,5120,1536,6913,45312,13056,7168,40192,6656,256,0
666,23,5123,14848,0,0,7168,23040,5888,2304,513,51456,13824,7936,43264,6400,0,0
666,24,64514,14336,0,0,9216,23040,7936,2816,2305,50176,14336,7680,44032,7168,1792,0
666,25,45570,10752,0,0,8448,18944,5376,3072,513,40704,10752,7680,38912,9472,3072,0
666,26,30210,10240,0,0,8960,16128,7680,2048,55808,34048,9216,6656,40704,9472,1536,0
666,27,13570,10752,0,0,10496,13568,9216,2560,55296,31232,6144,5376,31488,6656,0,0
666,28,53505,10496,0,0,10496,11776,7168,1792,33792,28928,6400,5376,29184,5888,0,0
666,29,27393,13056,0,0,10240,12544,5376,2304,24576,22784,7168,4864,29440,8448,0,0
666,30,49664,11776,0,0,9472,11008,6144,1792,18432,24576,6400,5376,24576,8704,512,0
666,31,19200,9216,0,0,7936,11264,7424,1792,14080,23552,7424,4864,16896,6400,0,0
666,32,0,7424,0,0,7168,6144,7680,1792,12800,19712,7680,4352,5632,6656,0,0
666,33,0,2304,0,0,6144,6912,7680,1280,11008,12032,6400,3328,3840,6656,0,0
666,34,0,2048,0,0,5632,6400,6656,1792,9984,12288,5376,3328,4608,5888,0,0
666,35,0,2304,0,0,5120,6400,7936,1280,10496,11520,7168,3328,3584,5376,0,0
666,36,0,1792,0,0,5632,6656,7168,1536,10496,12032,6144,3072,4352,7680,0,0
666,37,0,1280,0,0,5376,6144,7680,1536,9728,13312,6912,2816,4352,7936,0,0
666,38,0,1536,0,0,5888,6400,8448,1280,10496,13568,6400,4096,4864,7168,0,0
666,39,0,1280,0,0,6400,5888,8448,1280,10752,12544,5632,3328,4352,7168,0,0
666,40,0,1792,0,0,5632,5888,8704,1280,10496,12544,5376,4608,3584,6656,0,0
666,41,0,1792,0,0,5376,5888,8960,1280,9984,12544,5376,4864,3840,8448,0,0
666,42,0,1536,0,0,5376,5888,8704,1536,9728,12288,4608,3584,4352,4864,0,0
666,43,0,1280,0,0,5632,5632,8960,1792,9984,12544,5632,3584,4352,7424,0,0
666,44,0,1280,0,0,6400,5632,8960,2304,10496,12800,5888,4096,4096,8960,0,0
666,45,0,1536,0,0,6144,5888,8704,2048,10240,13312,7424,3840,3840,7680,0,0
666,46,0,1280,0,0,6400,6400,8960,1792,9984,12032,6656,4096,4096,7424,0,0
666,47,0,1792,0,0,6400,6400,8448,1280,10240,12032,6400,4096,3584,6400,0,0
666,48,0,1792,0,0,5632,6400,8704,1024,9984,12032,6656,4352,3584,7680,0,0
666,49,0,1792,0,0,6144,6400,8704,1280,9984,11776,6400,4352,3840,7680,0,0
