label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
background,0,0,1536,0,0,6912,8192,6912,1536,7936,6656,5120,3072,3328,2560,0,0
background,1,0,1536,0,0,6912,8192,7168,1536,7936,6912,5376,3328,3328,2560,0,0
background,2,0,1536,0,0,6912,8192,7168,1536,7936,6656,5120,3328,3328,2560,0,0
background,3,0,1792,0,0,7168,8192,7424,1536,7936,6656,5376,3328,3328,2560,0,0
background,4,0,1792,0,0,7168,8192,7168,1536,7936,6656,5120,3328,3072,2816,0,0
background,5,0,1792,0,0,6912,8192,7424,1536,7936,6656,5376,3072,3072,2816,0,0
background,6,0,1792,0,0,6912,8192,7168,1536,7936,6656,5376,3328,3072,2816,0,0
background,7,0,1792,0,0,6912,8192,7168,1536,7936,6656,5376,3072,3072,3072,0,0
background,8,0,1792,0,0,6912,8192,7168,1536,8192,6656,5376,3072,3072,2816,0,0
background,9,0,1792,0,0,6912,8192,7168,1536,8192,6656,5120,3072,2816,3072,0,0
background,10,0,1792,0,0,6912,8192,7168,1536,8192,6912,5376,3072,3072,3072,0,0
background,11,0,1792,0,0,6656,8192,7168,1536,7936,6656,5376,3072,3072,3072,0,0
background,12,0,1792,0,0,6656,8192,7168,1536,8192,6912,5376,3072,3328,3328,0,0
background,13,0,1792,0,0,6656,8192,7168,1536,7936,6912,5376,2816,3328,3328,0,0
background,14,0,1792,0,0,6656,8192,7168,1536,7936,6912,5632,3072,3328,3072,0,0
background,15,0,1792,0,0,6912,8192,7168,1536,8192,6912,5120,2816,3072,1792,0,0
background,16,0,1792,0,0,6912,8192,7168,1280,8192,5376,4864,2560,1792,2560,0,0
background,17,0,1792,0,0,6144,7680,7168,1280,7168,5888,5376,2816,1280,2304,0,0
background,18,0,1792,0,0,5888,7936,7424,1280,7168,6400,5376,2816,1536,3328,0,0
background,19,0,1792,0,0,5632,7936,6656,1024,5376,7680,6656,3584,256,3328,256,0
background,20,0,1536,0,0,5376,8192,6656,1024,5632,7936,7424,3584,512,3328,0,0
background,21,0,1536,0,0,5376,8448,6912,1280,5632,8192,7424,4352,0,3840,0,0
background,22,0,1536,0,0,5120,6912,7424,1024,4608,6400,4608,2560,512,3328,3072,0
background,23,0,1536,0,0,4864,6656,7936,512,6144,7424,6144,4096,256,4864,1280,0
background,24,0,1024,0,0,4864,7168,6912,768,5888,7424,4352,3840,0,4352,0,0
background,25,0,768,256,0,4608,6656,7424,1536,5888,8704,4864,2816,0,2048,0,0
background,26,0,768,0,0,5120,7424,8960,1024,5376,7936,4864,3072,512,1792,0,0
background,27,0,768,0,0,5120,7936,8960,1280,5888,6912,4608,3328,256,3584,0,0
background,28,0,768,256,0,4608,6912,7936,1024,6144,6912,4352,2816,256,3840,0,0
background,29,0,768,256,0,4608,6912,7680,1024,5632,7936,4608,3328,0,768,0,0
background,30,0,768,0,0,4864,7936,8192,1280,6144,5888,3840,3328,512,0,0,0
background,31,0,768,0,0,5120,7680,7680,2048,5888,5120,3584,3328,512,1536,0,0
background,32,0,1024,0,0,5120,7168,7424,1024,4608,6912,4864,3072,1024,4608,1792,0
background,33,0,768,0,0,4608,7424,7680,768,5120,8192,3840,3072,0,1024,0,0
background,34,0,768,0,0,4864,7680,7680,1024,5632,6912,4608,4096,256,2560,0,0
background,35,0,1024,0,0,5120,7936,7936,1024,5888,7168,4864,2816,256,1280,0,0
background,36,0,768,0,0,5376,7936,8704,1280,5120,5632,3584,3072,1024,0,0,0
background,37,0,768,0,0,5120,8192,8448,2048,6656,6400,3840,2560,1792,1792,0,0
background,38,0,1024,0,0,5376,7936,7936,2048,6656,6400,5888,3840,2048,1280,0,0
background,39,0,768,0,0,5376,8192,7424,1792,7168,6656,5888,3840,2304,1792,0,0
background,40,0,768,0,0,5376,7168,7424,1536,6912,6144,4352,2560,2560,1536,0,0
background,41,0,768,0,0,5376,7424,6656,1536,6912,6400,4096,3072,2048,1280,0,0
background,42,0,768,0,0,5376,8192,6656,1536,7168,6144,4096,3584,2304,3072,0,0
background,43,0,1024,0,0,5632,8448,6912,1536,7168,6144,4096,3840,2304,1536,0,0
background,44,0,768,0,0,5888,8704,6912,1536,7168,6912,4352,2560,2560,2048,0,0
background,45,0,1024,0,0,6144,8704,6656,1536,7680,6144,4096,2816,2816,2816,0,0
background,46,0,1024,0,0,5888,8704,6656,1280,7936,6912,3840,2816,2560,1536,0,0
background,47,0,1024,0,0,6144,8448,6656,1280,8192,7168,3584,3840,2816,1792,0,0
background,48,0,1024,0,0,6400,8448,6400,1280,8192,7424,3840,3584,3072,2048,0,0
background,49,0,1024,0,0,5888,7936,6400,1536,7936,6912,4352,2560,2816,1792,0,0
