label,frame_index,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
background,0,0,1280,0,0,7936,6144,6144,1536,6656,6400,4352,3072,2816,3072,0,0
background,1,0,1280,0,0,7936,6144,6144,1536,6656,6400,4096,3072,2816,2816,0,0
background,2,0,1280,0,0,7936,6144,6144,1536,6656,6400,4352,3072,2816,2816,0,0
background,3,0,1280,0,0,7936,6144,6144,1536,6656,6400,4096,3072,2816,2816,0,0
background,4,0,1280,0,0,7936,6144,6144,1536,6400,6400,4096,2816,2816,2560,0,0
background,5,0,1280,0,0,7936,6144,6144,1536,6400,6400,3840,2816,2816,2560,0,0
background,6,0,1280,0,0,7936,6144,6144,1536,6400,6400,3840,2816,2816,2560,0,0
background,7,0,1280,0,0,7936,6144,6144,1536,6656,6656,4096,3072,2816,2560,0,0
background,8,0,1536,0,0,7936,6400,6400,1536,6656,6656,3840,3072,3072,2816,0,0
background,9,0,1536,0,0,7936,6144,6144,1536,6400,6656,4096,3072,3072,2560,0,0
background,10,0,1536,0,0,7936,6144,6400,1792,6400,6656,4352,3072,2816,2816,0,0
background,11,0,1536,0,0,7936,6144,6144,1792,6656,6656,4096,3328,3072,2816,0,0
background,12,0,1792,0,0,7936,6144,6400,1792,6656,6656,4096,3072,2816,2560,0,0
background,13,0,2304,0,0,8192,6144,6400,1792,6400,6656,4096,3072,2816,2560,0,0
background,14,0,2560,0,0,7936,6144,6144,1536,6656,5376,3328,3328,1536,3584,0,0
background,15,0,2560,0,0,7936,6400,5376,1280,6912,6400,5120,2816,768,2816,0,0
background,16,0,2560,0,0,8192,6400,5888,1280,7424,6400,3584,2560,1024,3328,0,0
background,17,0,2560,0,0,8192,6400,6144,1536,6400,6400,5376,3328,0,2816,0,0
background,18,0,2560,0,0,7936,6144,6144,1536,6144,6912,4864,3328,256,2816,2816,0
background,19,0,2304,0,0,7424,4864,6656,512,4864,6400,3584,2304,256,3840,1536,0
background,20,0,2304,0,0,5888,5632,6656,256,5376,7936,3072,2816,0,2048,0,0
background,21,0,1024,0,0,6144,6400,7680,768,5888,6912,3584,3072,0,1536,0,0
background,22,0,1024,0,0,6400,6144,8192,768,5632,7936,3328,2560,256,5120,256,0
background,23,0,768,0,0,6400,5888,8960,512,5120,6144,4096,3328,256,3584,0,0
background,24,0,768,0,0,6400,6400,9472,512,5376,6144,3584,3840,0,3584,0,0
background,25,0,256,0,0,5376,6400,9472,768,5120,6144,3840,3584,0,3840,0,0
background,26,0,512,0,0,5376,6400,9984,768,5120,6400,4608,3584,512,3584,0,0
background,27,0,512,0,0,5376,5632,9472,768,5120,6400,5376,3584,512,3072,0,0
background,28,0,768,0,0,5376,5632,9728,768,5120,6656,3840,3584,512,3072,0,0
background,29,0,768,0,0,5376,5632,9984,768,5376,6656,3584,2560,256,2560,0,0
background,30,0,768,0,0,5376,5632,9984,1024,5376,6912,3840,3584,512,3072,0,0
background,31,0,768,0,0,5632,5632,9728,1024,5632,6912,4608,2560,0,3584,0,0
background,32,0,768,0,0,5632,5632,9984,1024,5888,7168,3328,2816,0,1792,0,0
background,33,0,512,0,0,6144,6400,8960,1024,5632,4352,2816,2048,256,0,0,0
background,34,0,768,0,0,6912,7424,6400,2048,6144,4352,3584,3072,0,0,0,0
background,35,0,256,0,0,6144,6144,6656,1536,5632,5888,3328,2304,0,1536,0,0
background,36,0,256,0,0,5632,6144,7168,512,5632,5888,3840,2048,256,4096,2304,0
background,37,0,0,0,0,5888,5632,6400,512,5632,6656,3328,2560,0,3328,0,0
background,38,0,256,0,0,5888,5888,7168,768,6400,5632,3072,2304,256,0,0,0
background,39,0,256,0,0,6400,6912,6144,1536,5376,5120,4864,2048,768,0,0,0
background,40,0,256,0,0,6144,6144,6400,1280,5888,4864,3328,3328,768,1536,0,0
background,41,0,256,0,0,5888,5888,6400,1280,5376,6144,5120,2560,1024,1792,0,0
background,42,0,256,0,0,5632,6144,6656,1280,5888,6400,4096,3584,1792,0,0,0
background,43,0,256,0,0,6144,5888,6656,1280,5888,4864,3072,2816,2048,0,0,0
background,44,0,256,0,0,6400,5632,6144,1536,6144,5120,3840,2560,2560,768,0,0
background,45,0,512,0,0,7168,5888,5632,1536,6656,5888,3840,3328,1792,1792,0,0
background,46,0,256,0,0,6912,5632,5888,1536,6912,5632,4096,3328,2304,2304,0,0
background,47,0,0,0,0,7168,5120,6144,1536,6656,6144,3584,3584,2560,2304,0,0
background,48,0,0,0,0,7168,5376,6144,1536,6912,6144,3584,3584,2560,2048,0,0
background,49,0,256,0,0,7168,5632,5888,1280,6400,6144,3584,3584,2560,2048,0,0
