label,frame_index,hex_packet
class_a,0,aa 01 00 05 00 00 00 01 00 0b 00 04 00 00 00 01 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c6
class_a,1,aa 01 00 05 00 00 00 01 00 0a 00 04 00 00 00 01 00 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c6
class_a,2,aa 01 00 05 00 00 00 01 00 0b 00 04 00 00 00 02 00 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c8
class_a,3,aa 01 00 05 00 00 00 02 00 0b 00 04 00 00 00 01 00 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c8
class_a,4,aa 01 00 05 00 00 00 02 00 0b 00 03 00 00 00 02 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c7
class_a,5,aa 01 00 06 00 00 00 02 00 0a 00 04 00 00 00 01 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c7
class_a,6,aa 01 00 05 00 00 00 01 00 0a 00 04 00 00 00 01 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c4
class_a,7,aa 01 00 06 00 00 00 02 00 09 00 04 00 00 00 01 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c4
class_a,8,aa 01 00 06 00 00 00 02 00 09 00 05 00 00 00 01 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c5
class_a,9,aa 01 00 06 00 00 00 02 00 08 00 05 00 00 00 01 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c4
class_a,10,aa 01 00 07 00 00 00 02 00 09 00 04 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c3
class_a,11,aa 01 00 06 00 00 00 02 00 08 00 04 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c0
class_a,12,aa 01 00 07 00 00 00 03 00 0a 00 04 00 00 00 01 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c6
class_a,13,aa 01 00 07 00 00 00 03 00 0a 00 04 00 00 00 01 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c7
class_a,14,aa 01 00 07 00 00 00 04 00 1a 00 03 00 00 00 02 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 da
class_a,15,aa 01 00 00 00 00 00 00 00 33 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 de
class_a,16,aa 01 00 00 00 00 00 00 00 33 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 de
class_a,17,aa 01 00 00 00 00 00 00 00 45 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 f0
class_a,18,aa 01 00 00 00 00 00 00 00 65 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10
class_a,19,aa 01 00 00 00 00 00 00 00 67 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 12
class_a,20,aa 01 00 00 00 00 00 00 00 7c 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27
